frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,icmp.type,icmp.code,ip.proto,_ws.col.Protocol
"Apr  5, 2025 01:12:13.324269000 CDT",,,"50498","443",,,,,,"TLSv1.2"
"Apr  5, 2025 01:12:13.329555000 CDT","192.168.1.95","20.190.135.2","50499","443",,,,,"6","TCP"
"Apr  5, 2025 01:12:13.349716000 CDT",,,"49939","443",,,,,,"TCP"
"Apr  5, 2025 01:12:13.360869000 CDT",,,,,"62885","53",,,,"DNS"
"Apr  5, 2025 01:12:13.361062000 CDT",,,,,"55421","53",,,,"DNS"
"Apr  5, 2025 01:12:13.363848000 CDT",,,"443","50498",,,,,,"TCP"
"Apr  5, 2025 01:12:13.364515000 CDT",,,"443","50498",,,,,,"TCP"
"Apr  5, 2025 01:12:13.364538000 CDT",,,"50498","443",,,,,,"TCP"
"Apr  5, 2025 01:12:13.364746000 CDT",,,"443","50498",,,,,,"TCP"
"Apr  5, 2025 01:12:13.364746000 CDT",,,"443","50498",,,,,,"TLSv1.2"
"Apr  5, 2025 01:12:13.364763000 CDT",,,"50498","443",,,,,,"TCP"
"Apr  5, 2025 01:12:13.385144000 CDT","20.190.135.2","192.168.1.95","443","50499",,,,,"6","TCP"
"Apr  5, 2025 01:12:13.385219000 CDT","192.168.1.95","20.190.135.2","50499","443",,,,,"6","TCP"
"Apr  5, 2025 01:12:13.385251000 CDT",,,"50498","443",,,,,,"TLSv1.2"
"Apr  5, 2025 01:12:13.385385000 CDT","192.168.1.95","20.190.135.2","50499","443",,,,,"6","TLSv1.2"
"Apr  5, 2025 01:12:13.389775000 CDT",,,,,"53","62885",,,,"DNS"
"Apr  5, 2025 01:12:13.390002000 CDT",,,,,"53","55421",,,,"DNS"
"Apr  5, 2025 01:12:13.392587000 CDT",,,"50500","443",,,,,,"TCP"
"Apr  5, 2025 01:12:13.407119000 CDT","192.168.1.95","239.255.255.250",,,"62304","1900",,,"17","SSDP"
"Apr  5, 2025 01:12:13.422383000 CDT",,,"443","50500",,,,,,"TCP"
"Apr  5, 2025 01:12:13.422445000 CDT",,,"50500","443",,,,,,"TCP"
"Apr  5, 2025 01:12:13.423191000 CDT",,,"50500","443",,,,,,"TLSv1.2"
